frame,track_id,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,1,0.13813185691833496,0.4973166584968567,0.15571585297584534,0.4605339467525482,0.1230291947722435,0.46656274795532227,0.19484758377075195,0.43845129013061523,0.11520276963710785,0.45307159423828125,0.24450120329856873,0.5457552075386047,0.0994710773229599,0.5486568808555603,0.24857647716999054,0.7743296027183533,0.05532306432723999,0.7395250201225281,0.13902637362480164,0.8273598551750183,0.0501205213367939,0.8269472122192383,0.23240049183368683,0.8769863843917847,0.13075868785381317,0.8723084330558777,0.20182116329669952,0.8884948492050171,0.07267817109823227,0.8929118514060974,0.196845144033432,0.9592117071151733,0.10031493008136749,0.9839126467704773
0,2,0.8277816772460938,0.49203723669052124,0.8407017588615417,0.46653228998184204,0.8125643730163574,0.46248137950897217,0.8532001376152039,0.46282076835632324,0.7793982625007629,0.4525333046913147,0.8802735209465027,0.5817752480506897,0.7418370246887207,0.5739866495132446,0.9320505261421204,0.7304975986480713,0.7339828610420227,0.7364649176597595,0.9240961074829102,0.789350152015686,0.8127412796020508,0.7838841676712036,0.8638189435005188,0.8598693609237671,0.7662865519523621,0.8593290448188782,0.9189803004264832,0.888776421546936,0.747637152671814,0.8812153935432434,0.9130333662033081,1.0,0.7554022073745728,1.0
0,3,0.2969864010810852,0.38517653942108154,0.3065977692604065,0.36642664670944214,0.28804633021354675,0.3665793538093567,0.32364076375961304,0.3643046021461487,0.2745656967163086,0.3650038540363312,0.35195213556289673,0.45455503463745117,0.25060370564460754,0.4535333812236786,0.3780739903450012,0.5887659192085266,0.22941119968891144,0.5794284343719482,0.3422465920448303,0.6621636152267456,0.25937536358833313,0.6266956925392151,0.3247726559638977,0.6866450905799866,0.25846827030181885,0.6850272417068481,0.3265361487865448,0.7529040575027466,0.25010666251182556,0.7528154253959656,0.3111622631549835,0.817198634147644,0.2612544000148773,0.8199983239173889
1,1,0.1371946483850479,0.49800610542297363,0.15525197982788086,0.4642256796360016,0.12224680185317993,0.4686482846736908,0.1942586600780487,0.44219258427619934,0.11232791841030121,0.4544776976108551,0.24439096450805664,0.5404459834098816,0.09936749190092087,0.5426415205001831,0.24762597680091858,0.7714915871620178,0.056977707892656326,0.7339500188827515,0.13298740983009338,0.8267743587493896,0.05051354691386223,0.8215038776397705,0.24111294746398926,0.8678773641586304,0.13845506310462952,0.8596960306167603,0.2045302391052246,0.8986503481864929,0.05104793980717659,0.8920042514801025,0.21500761806964874,0.9050804972648621,0.08862175047397614,0.9123086929321289
1,2,0.8272930979728699,0.4924515187740326,0.8402681350708008,0.4669889211654663,0.8124161958694458,0.4626338481903076,0.8528802990913391,0.4625868499279022,0.77977454662323,0.451570600271225,0.8799132108688354,0.5806913375854492,0.7421320676803589,0.5724953413009644,0.9328644871711731,0.7302629351615906,0.7342650294303894,0.73543381690979,0.9242374300956726,0.7892709374427795,0.8130918741226196,0.7834502458572388,0.8636805415153503,0.8585663437843323,0.7663432359695435,0.8577268719673157,0.9184373617172241,0.8911373615264893,0.7458633184432983,0.8835567235946655,0.9150098562240601,1.0,0.7534529566764832,1.0
1,3,0.2967643141746521,0.38509827852249146,0.3063763976097107,0.3652808368206024,0.2883210778236389,0.36519378423690796,0.32414740324020386,0.3616619408130646,0.2757663130760193,0.3609895408153534,0.3537229597568512,0.4584354758262634,0.2508211135864258,0.4561862647533417,0.37848472595214844,0.5921536684036255,0.2284642457962036,0.5844457149505615,0.34733033180236816,0.6522625088691711,0.25950759649276733,0.6263429522514343,0.33077386021614075,0.6873204708099365,0.263462096452713,0.6862397193908691,0.33497926592826843,0.7474238872528076,0.25200602412223816,0.7477167844772339,0.3259032666683197,0.780561089515686,0.2662018835544586,0.7852963209152222
2,1,0.13701054453849792,0.4969046711921692,0.154423326253891,0.45984742045402527,0.12166452407836914,0.466548889875412,0.1935383826494217,0.43826112151145935,0.11394266039133072,0.45445963740348816,0.24384789168834686,0.5453773736953735,0.09905874729156494,0.5495063066482544,0.24838602542877197,0.7740175724029541,0.05591215938329697,0.7390612959861755,0.14031191170215607,0.8272538185119629,0.04999018833041191,0.8255882859230042,0.23287582397460938,0.8722389936447144,0.1313946545124054,0.868328332901001,0.20226910710334778,0.8906700015068054,0.07397033274173737,0.8966361284255981,0.19769802689552307,0.9617254734039307,0.10139314085245132,0.9879364967346191
2,2,0.8254915475845337,0.4916347563266754,0.8388653993606567,0.4666512906551361,0.8109733462333679,0.4619795083999634,0.8527180552482605,0.4632578492164612,0.7800208926200867,0.4514888823032379,0.8798729777336121,0.5807026624679565,0.7425006628036499,0.5720622539520264,0.9329971075057983,0.730359673500061,0.7344003915786743,0.735313355922699,0.9244307279586792,0.7899426221847534,0.8135088682174683,0.7838093042373657,0.8631943464279175,0.8593456745147705,0.7658868432044983,0.8584432601928711,0.9191317558288574,0.8882632851600647,0.7467686533927917,0.881178617477417,0.9165725708007812,1.0,0.7537598013877869,1.0
2,3,0.29710853099823,0.385177344083786,0.3066825270652771,0.36662474274635315,0.28824490308761597,0.36675912141799927,0.32381266355514526,0.3649647533893585,0.2749002277851105,0.36550575494766235,0.35237500071525574,0.45476439595222473,0.2509691119194031,0.45353779196739197,0.37766188383102417,0.588378369808197,0.22954845428466797,0.5785918235778809,0.34251490235328674,0.6645665764808655,0.2612400949001312,0.6266946792602539,0.32610827684402466,0.6831629276275635,0.25967639684677124,0.6816204786300659,0.32839009165763855,0.7469387650489807,0.2503998875617981,0.7469988465309143,0.31392329931259155,0.8124271631240845,0.2619861662387848,0.8157445192337036
3,1,0.13658539950847626,0.49706873297691345,0.15406611561775208,0.4597112834453583,0.12100806087255478,0.4665670096874237,0.19319835305213928,0.4381476640701294,0.11296223104000092,0.4547191262245178,0.24378898739814758,0.545382022857666,0.09845523536205292,0.5497917532920837,0.249352365732193,0.7743038535118103,0.056743621826171875,0.7388899326324463,0.1407078057527542,0.8265227675437927,0.049549032002687454,0.8255707025527954,0.23332858085632324,0.8717859983444214,0.13140657544136047,0.8680833578109741,0.20281851291656494,0.891261100769043,0.07376466691493988,0.8980746865272522,0.1988222897052765,0.9605216383934021,0.10168303549289703,0.9884986281394958
